index,Date,Open,High,Low,Close,volume,oi
308,2017-05-23,22674.9,22740.4,22492.2,22582.8,0,0
309,2017-05-24,22624.5,22673.4,22469.8,22536.3,0,0
310,2017-05-25,22573.65,23267.8,22570.35,23190.8,0,0
311,2017-05-26,23151.4,23408.35,23092.35,23362.2,0,0
312,2017-05-29,23310.6,23464.0,23141.15,23182.75,0,0
313,2017-05-30,23142.1,23337.15,23093.95,23307.25,0,0
314,2017-05-31,23321.2,23469.45,23248.5,23424.8,0,0
315,2017-06-01,23394.1,23396.15,23224.05,23310.15,0,0
316,2017-06-02,23435.2,23453.3,23308.4,23375.9,0,0
317,2017-06-05,23397.4,23494.7,23349.95,23459.65,0,0
318,2017-06-06,23523.05,23536.1,23381.7,23416.3,0,0
319,2017-06-07,23482.85,23606.15,23427.55,23567.65,0,0
320,2017-06-08,23630.35,23659.1,23514.2,23536.1,0,0
321,2017-06-09,23483.95,23708.65,23476.85,23690.9,0,0
322,2017-06-12,23610.15,23630.1,23441.8,23470.45,0,0
323,2017-06-13,23447.0,23615.2,23446.9,23477.85,0,0
324,2017-06-14,23555.3,23562.8,23399.4,23498.7,0,0
325,2017-06-15,23444.7,23473.3,23311.85,23391.75,0,0
326,2017-06-16,23448.6,23527.65,23391.0,23502.75,0,0
327,2017-06-19,23571.35,23806.65,23535.7,23742.15,0,0
328,2017-06-20,23720.6,23760.35,23651.2,23697.95,0,0
329,2017-06-21,23638.15,23760.75,23610.2,23708.75,0,0
330,2017-06-22,23716.85,23897.85,23694.15,23736.1,0,0
331,2017-06-23,23772.3,23786.5,23507.5,23542.75,0,0
332,2017-06-27,23636.95,23640.1,23055.75,23216.25,0,0
333,2017-06-28,23209.55,23322.55,23113.65,23235.85,0,0
334,2017-06-29,23312.4,23476.0,23124.35,23227.3,0,0
335,2017-06-30,23137.25,23254.1,22996.4,23211.2,0,0
336,2017-07-03,23240.35,23330.1,23144.3,23272.8,0,0
337,2017-07-04,23325.5,23363.05,23163.7,23214.2,0,0
338,2017-07-05,23241.9,23380.35,23205.55,23352.6,0,0
339,2017-07-06,23399.5,23540.15,23369.5,23466.65,0,0
340,2017-07-07,23463.75,23492.6,23400.6,23449.15,0,0
341,2017-07-10,23583.25,23964.8,23289.9,23675.05,0,0
342,2017-07-11,23744.55,23744.55,23552.6,23584.6,0,0
343,2017-07-12,23623.75,23736.55,23523.65,23695.45,0,0
344,2017-07-13,23817.25,23938.0,23811.0,23888.65,0,0
345,2017-07-14,23949.5,23963.65,23755.95,23937.7,0,0
346,2017-07-17,24011.4,24066.1,23913.65,24015.05,0,0
347,2017-07-18,23958.15,24147.45,23942.1,24022.05,0,0
348,2017-07-19,24069.2,24180.75,24053.7,24152.65,0,0
349,2017-07-20,24170.65,24299.6,24170.65,24213.35,0,0
350,2017-07-21,24231.4,24289.3,24066.9,24257.05,0,0
351,2017-07-24,24307.7,24460.55,24234.65,24420.85,0,0
