Ticker,Momentum,Rank_Mom,Group_Rank_1_to_100,Score,FIP,Close,Positive,Negative
HDFCAMC,-0.18327348815410094,203.0,41,60,4.032258064516121,2698.6,47.58064516129033,51.61290322580645
SOBHA,-0.212798849904694,204.0,41,60,14.516129032258071,1395.1,42.74193548387097,57.25806451612904
KOTAKBANK,-0.3436238385580159,205.0,41,60,9.677419354838712,415.2,44.354838709677416,54.03225806451613
APOLLOHOSP,-0.4831447666422628,206.0,42,59,8.064516129032256,7821.5,45.96774193548387,54.03225806451613
MGL,-0.5256297100421525,207.0,42,59,-1.6129032258064484,1219.8,50.806451612903224,49.193548387096776
AMBER,-0.6336973469894702,208.0,42,59,-8.064516129032256,7974.0,54.03225806451613,45.96774193548387
PFIZER,-0.7145317193489986,209.0,42,59,14.516129032258071,5062.2,42.74193548387097,57.25806451612904
KPIL,-0.7429380986625156,210.0,42,59,9.677419354838712,1240.1,44.354838709677416,54.03225806451613
WELCORP,-0.9786935965688137,211.0,43,58,17.741935483870968,825.25,41.12903225806452,58.87096774193549
NH,-0.9850480710738463,212.0,43,58,19.354838709677423,1830.9,40.32258064516129,59.67741935483871
NSLNISP,-1.2646040160417482,213.0,43,58,9.677419354838712,40.57,45.16129032258064,54.83870967741935
BLUEDART,-1.316691033631845,214.0,43,58,16.12903225806452,5682.5,41.935483870967744,58.06451612903226
BLUESTARCO,-1.3250431632195858,215.0,43,58,6.451612903225801,1941.2,46.774193548387096,53.2258064516129
ASTRAZEN,-1.3255879465934428,216.0,44,57,-7.258064516129025,8849.0,53.2258064516129,45.96774193548387
GLAND,-1.42763569655866,217.0,44,57,9.677419354838712,1822.2,45.16129032258064,54.83870967741935
AEGISLOG,-1.5143605169183338,218.0,44,57,20.967741935483872,688.45,39.516129032258064,60.483870967741936
ADANIENT,-1.5628411513840756,219.0,44,57,5.6451612903225765,2161.8,46.774193548387096,52.41935483870967
TATACOMM,-1.6051289163868332,220.0,44,57,-2.4193548387096726,1597.5,50.806451612903224,48.38709677419355
APOLLOTYRE,-1.701598606618382,221.0,45,56,12.903225806451623,454.05,43.54838709677419,56.451612903225815
ICICIBANK,-2.30189012539308,222.0,45,56,8.064516129032256,1378.9,45.96774193548387,54.03225806451613
LTFOODS,-2.344055166172798,223.0,45,56,4.838709677419345,402.3,47.58064516129033,52.41935483870967
TATAINVEST,-2.4560449781821037,224.0,45,56,17.741935483870968,658.7,41.12903225806452,58.87096774193549
SBICARD,-2.5806490005087834,225.0,45,56,4.838709677419352,774.4,46.774193548387096,51.61290322580645
COLPAL,-2.645933982829496,226.0,46,55,6.451612903225801,2254.5,46.774193548387096,53.2258064516129
EMCURE,-2.722158405231001,227.0,46,55,4.838709677419345,1455.5,47.58064516129033,52.41935483870967
DABUR,-2.850600776018486,228.0,46,55,10.483870967741936,518.5,44.354838709677416,54.83870967741935
DOMS,-3.0117173106538497,229.0,46,55,11.29032258064516,2332.0,44.354838709677416,55.64516129032258
CAMPUS,-3.218994271301545,230.0,46,55,1.6129032258064484,259.55,48.38709677419355,50.0
SOLARINDS,-3.259525460577839,231.0,47,54,6.451612903225801,13504.0,46.774193548387096,53.2258064516129
ASIANPAINT,-3.388123194446624,232.0,47,54,1.6129032258064484,2376.2,49.193548387096776,50.806451612903224
LICHSGFIN,-3.511236845395038,233.0,47,54,0.0,537.75,49.193548387096776,49.193548387096776
IRB,-3.608153538118386,234.0,47,54,0.8064516129032242,41.71,49.193548387096776,50.0
COROMANDEL,-3.6119745892176036,235.0,47,54,0.0,2220.0,50.0,50.0
BBTC,-3.7125607361203627,236.0,48,53,8.870967741935488,1694.2,45.16129032258064,54.03225806451613
THERMAX,-3.825385653561375,237.0,48,53,4.838709677419345,3117.8,47.58064516129033,52.41935483870967
KPRMILL,-4.1665765632110885,238.0,48,53,16.12903225806452,897.8,41.935483870967744,58.06451612903226
IOB,-4.171135769418221,239.0,48,53,11.29032258064516,36.45,44.354838709677416,55.64516129032258
NHPC,-4.343979041874357,240.0,48,53,11.29032258064516,75.33,44.354838709677416,55.64516129032258
MRF,-4.3456220186074646,241.0,49,52,16.935483870967744,140985.0,41.12903225806452,58.06451612903226
GODIGIT,-4.350666282568927,242.0,49,52,4.838709677419345,335.75,47.58064516129033,52.41935483870967
PIDILITIND,-4.635622842904475,243.0,49,52,4.838709677419352,1492.0,46.774193548387096,51.61290322580645
ANANTRAJ,-4.7248893265486425,244.0,49,52,4.032258064516121,529.8,47.58064516129033,51.61290322580645
NIVABUPA,-4.773191223444373,245.0,49,52,16.12903225806452,75.09,41.12903225806452,57.25806451612904
RAILTEL,-4.863296570040854,246.0,50,51,21.774193548387096,313.65,38.70967741935484,60.483870967741936
JSWENERGY,-5.040946490668263,247.0,50,51,-1.6129032258064484,487.75,50.806451612903224,49.193548387096776
GRAVITA,-5.271864383747027,248.0,50,51,8.064516129032256,1613.0,45.96774193548387,54.03225806451613
TRITURBINE,-5.280761391041455,249.0,50,51,11.29032258064516,489.2,44.354838709677416,55.64516129032258
ITI,-5.2840569923985115,250.0,50,51,19.354838709677423,270.3,40.32258064516129,59.67741935483871
CASTROLIND,-5.358964816268563,251.0,51,50,14.516129032258071,186.91,42.74193548387097,57.25806451612904
JSWHL,-5.651312523927876,252.0,51,50,4.838709677419345,16587.0,47.58064516129033,52.41935483870967
HCLTECH,-5.900540924190123,253.0,51,50,-4.838709677419345,1389.1,52.41935483870967,47.58064516129033
RADICO,-6.119090186459186,254.0,51,50,-1.6129032258064484,2649.5,50.806451612903224,49.193548387096776
RECLTD,-6.400512515017809,255.0,51,50,-1.6129032258064484,349.8,50.0,48.38709677419355
