symbol,company,industry,score,momentum,positive,negative,band,rank,price
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,81.17,29.93,51.3,47.9,Strong (80-100),65,866.5
UNIONBANK,Union Bank of India,Financial Services,46.86,11.34,54.5,43.8,Average (40-60),66,167.28
DELHIVERY,Delhivery Ltd.,Services,40.17,9.04,55.4,43.0,Average (40-60),67,481.75
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,42.68,9.67,55.6,44.4,Average (40-60),68,3614.2
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,58.58,15.91,52.9,45.5,Average (40-60),69,4362.7
JSL,Jindal Stainless Ltd.,Metals & Mining,39.75,8.96,55.4,43.0,Weak (0-40),70,766.6
FINCABLES,Finolex Cables Ltd.,Capital Goods,69.46,22.36,51.2,47.1,Good (60-80),71,1087.9
KEI,KEI Industries Ltd.,Capital Goods,62.76,18.85,52.1,46.3,Good (60-80),72,5110.2
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,81.59,30.61,50.0,49.1,Strong (80-100),73,649.15
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,80.75,29.44,50.4,48.7,Strong (80-100),74,1478.7
NAVA,Nava Ltd.,Power,85.36,33.8,49.6,48.8,Strong (80-100),75,715.8
PFC,Power Finance Corporation Ltd.,Financial Services,60.25,17.26,52.1,46.3,Good (60-80),76,457.55
POWERGRID,Power Grid Corporation of India Ltd.,Power,51.46,13.39,52.9,45.5,Average (40-60),77,313.8
ZENTEC,Zen Technologies Ltd.,Capital Goods,69.87,22.44,51.2,47.1,Good (60-80),78,1621.6
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,54.39,14.99,52.1,46.2,Average (40-60),79,3078.4
HEG,H.E.G. Ltd.,Capital Goods,56.07,15.39,52.1,46.3,Average (40-60),80,594.15
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,65.69,20.68,51.2,47.1,Good (60-80),81,578.65
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,75.31,26.28,50.0,47.8,Good (60-80),82,3301.7
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,73.64,24.82,50.4,47.9,Good (60-80),83,130.43
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,63.6,19.58,51.2,47.1,Good (60-80),84,1476.0
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,59.41,16.98,51.2,47.1,Average (40-60),85,1732.8
MARICO,Marico Ltd.,Fast Moving Consumer Goods,55.23,15.18,52.1,46.3,Average (40-60),86,832.15
HFCL,HFCL Ltd.,Telecommunication,100.0,87.45,47.1,51.2,Strong (80-100),87,146.24
LAURUSLABS,Laurus Labs Ltd.,Healthcare,61.09,17.66,51.2,47.1,Good (60-80),88,1205.3
