Ticker,Positive,Negative,Momentum,ISIN Code,Rank_Mom,FIP,FIP_rank,Combined_Rank,Real_Rank,End_Date
POLYCAB,59.83606557377049,40.16393442622951,83.16059391957099,INE455K01017,9.0,-19.67213114754098,4.0,13.0,2,2020-03-01
GRANULES,59.01639344262295,40.98360655737705,98.61518280758781,INE101D01020,8.0,-18.032786885245898,8.0,16.0,3,2020-03-01
ALKYLAMINE,57.377049180327866,42.62295081967213,107.60497875537531,INE150B01039,5.0,-14.754098360655739,12.0,17.0,4,2020-03-01
COROMANDEL,59.83606557377049,36.885245901639344,64.97604719320836,INE169A01031,19.0,-22.950819672131146,2.0,21.0,5,2020-03-01
JINDALSTEL,56.557377049180324,43.44262295081967,77.84975152136523,INE749A01030,12.0,-13.114754098360656,19.0,31.0,6,2020-03-01
ADANIENT,55.73770491803278,44.26229508196721,73.63018516530313,INE423A01024,13.0,-11.475409836065573,25.0,38.0,7,2020-03-01
ESCORTS,57.377049180327866,42.62295081967213,57.18778943891654,INE042A01014,28.0,-14.754098360655739,13.0,41.0,8,2020-03-01
BHARTIARTL,56.557377049180324,43.44262295081967,57.936177375357836,INE397D01024,27.0,-13.114754098360656,16.0,43.0,9,2020-03-01
NAVINFLUOR,54.09836065573771,45.08196721311475,109.42245990638364,INE048G01026,3.0,-9.016393442622956,40.0,43.0,10,2020-03-01
AUBANK,54.91803278688525,45.08196721311475,80.05020178139091,INE949L01017,11.0,-9.836065573770497,32.0,43.0,11,2020-03-01
GUJGASLTD,57.377049180327866,41.80327868852459,53.70203215162284,INE844O01030,34.0,-15.573770491803273,10.0,44.0,12,2020-03-01
SRF,59.83606557377049,40.16393442622951,48.30597731248552,INE647A01010,43.0,-19.67213114754098,5.0,48.0,13,2020-03-01
ABBOTINDIA,54.91803278688525,45.08196721311475,65.52750832753782,INE358A01014,17.0,-9.836065573770497,31.0,48.0,14,2020-03-01
DIXON,56.557377049180324,43.44262295081967,53.822795056494634,INE935N01020,33.0,-13.114754098360656,17.0,50.0,15,2020-03-01
BERGEPAINT,54.91803278688525,45.08196721311475,65.75236631047807,INE463A01038,16.0,-9.836065573770497,35.0,51.0,16,2020-03-01
MFSL,55.73770491803278,44.26229508196721,60.731660519959505,INE180A01020,24.0,-11.475409836065573,29.0,53.0,17,2020-03-01
DLF,56.557377049180324,43.44262295081967,53.22812387358897,INE271C01023,36.0,-13.114754098360656,18.0,54.0,18,2020-03-01
JKCEMENT,57.377049180327866,42.62295081967213,47.885652286884884,INE823G01014,44.0,-14.754098360655739,14.0,58.0,19,2020-03-01
DMART,55.73770491803278,44.26229508196721,56.73977515122526,INE192R01011,30.0,-11.475409836065573,28.0,58.0,20,2020-03-01
ADANIGREEN,57.25806451612904,42.74193548387097,170.83947888253826,INE364U01010,1.0,-14.516129032258071,5.0,6.0,1,2020-04-01
COROMANDEL,58.87096774193549,38.70967741935484,33.957640397133936,INE169A01031,10.0,-20.161290322580648,1.0,11.0,2,2020-04-01
GRANULES,56.451612903225815,43.54838709677419,51.88695482025767,INE101D01020,3.0,-12.903225806451623,10.0,13.0,3,2020-04-01
NAVINFLUOR,54.83870967741935,45.16129032258064,82.60923929118162,INE048G01026,2.0,-9.677419354838712,13.0,15.0,4,2020-04-01
ALKYLAMINE,54.83870967741935,45.16129032258064,40.936176120530064,INE150B01039,7.0,-9.677419354838712,11.0,18.0,5,2020-04-01
ABBOTINDIA,54.03225806451613,45.96774193548387,48.10449361027411,INE358A01014,4.0,-8.064516129032256,15.0,19.0,6,2020-04-01
DIXON,56.451612903225815,43.54838709677419,27.63281669865265,INE935N01020,12.0,-12.903225806451623,9.0,21.0,7,2020-04-01
GUJGASLTD,57.25806451612904,41.935483870967744,23.283435748085957,INE844O01030,19.0,-15.322580645161295,4.0,23.0,8,2020-04-01
AMBER,54.03225806451613,45.96774193548387,38.96338666760102,INE371P01015,8.0,-8.064516129032256,16.0,24.0,9,2020-04-01
