Date,Open,High,Low,Close,Volume
2018-02-06,398.6,408.15,395.9,405.5,24201248
2018-02-07,410.25,411.55,404.55,406.55,15621844
2018-02-08,408.15,413.9,405.65,411.15,13905614
2018-02-09,404.1,410.0,402.7,408.15,11647414
2018-02-12,410.45,417.35,410.0,416.1,11945542
2018-02-14,419.55,428.4,418.6,424.4,22376110
2018-02-15,426.2,429.85,421.9,425.3,13440798
2018-02-16,427.1,428.45,417.35,418.75,9683678
2018-02-19,418.6,423.6,415.25,421.4,8993460
2018-02-20,422.3,422.5,417.65,418.7,8507222
2018-02-21,422.7,423.9,419.15,422.45,11986106
2018-02-22,419.1,423.15,418.15,420.15,11261470
2018-02-23,420.65,426.4,419.4,424.65,10671846
2018-02-26,426.85,429.5,425.75,426.65,8484252
2018-02-27,426.85,434.45,426.55,432.05,14102214
2018-02-28,430.0,435.05,428.75,433.9,56977126
2018-03-01,431.7,436.3,430.0,431.1,9008234
2018-03-05,428.6,431.9,418.9,420.05,12396764
2018-03-06,422.3,425.55,411.4,414.05,16112096
2018-03-07,413.3,413.3,403.65,404.4,15944958
2018-03-08,408.0,415.65,406.05,414.3,13360562
2018-03-09,415.9,417.85,414.1,415.05,10699870
2018-03-12,418.15,424.1,417.1,422.85,8363096
2018-03-13,423.6,425.45,418.8,423.6,11213016
2018-03-14,422.15,423.65,417.85,422.3,14809366
2018-03-15,420.45,422.5,413.6,414.45,12785132
2018-03-16,413.15,413.5,402.75,409.1,30992640
2018-03-19,409.55,412.2,405.45,407.05,12703662
2018-03-20,406.05,410.9,403.2,404.45,15280586
2018-03-21,406.75,410.15,406.05,407.65,14799974
2018-03-22,407.3,414.5,407.15,412.8,22257324
2018-03-23,404.85,409.1,404.1,406.3,23605326
2018-03-26,406.35,411.05,405.65,409.6,13303976
2018-03-27,412.35,413.95,407.7,409.0,15267070
2018-03-28,407.15,407.2,400.0,401.25,19271090
2018-04-02,405.9,409.5,402.95,405.9,12566544
2018-04-03,405.0,409.85,402.35,408.9,14002402
2018-04-04,411.25,414.45,405.5,406.75,14296496
2018-04-05,411.4,413.6,410.65,412.85,8577088
2018-04-06,412.7,417.5,411.4,414.1,9720616
2018-04-09,414.8,417.7,414.8,416.4,7858952
2018-04-10,417.45,419.95,415.5,416.85,8503884
2018-04-11,419.0,423.95,416.4,423.15,13216586
2018-04-12,422.65,425.75,420.1,422.15,10884996
2018-04-13,423.95,428.05,422.15,426.75,12689564
2018-04-16,424.75,427.3,422.05,425.9,8985790
2018-04-17,427.3,430.55,425.45,429.2,9655168
2018-04-18,429.65,431.0,425.0,426.4,7403432
2018-04-19,426.9,429.55,425.0,428.35,9859108
2018-04-20,426.4,428.15,418.75,421.75,7368942
2018-04-23,422.7,429.25,422.05,425.45,7718734
2018-04-24,425.35,443.5,425.0,440.9,20035980
2018-04-25,442.55,446.25,438.0,441.1,14160564
2018-04-26,442.3,449.1,437.35,443.35,34293602
2018-04-27,449.9,459.55,447.95,452.85,25665788
