Ticker,Positive,Negative,Momentum,ISIN Code,Rank_Mom,FIP,FIP_rank,Combined_Rank,Real_Rank,End_Date
PERSISTENT,56.8,43.2,60.80876093328933,,33.0,-13.599999999999994,28.0,61.0,20,2022-01-01
DBREALTY,60.483870967741936,38.70967741935484,163.04645567685267,,4.0,-21.774193548387096,3.0,7.0,1,2022-02-01
ADANIGREEN,62.096774193548384,37.903225806451616,100.02924147722321,,9.0,-24.19354838709677,1.0,10.0,2,2022-02-01
TTML,58.87096774193549,41.12903225806452,209.2407788329637,,1.0,-17.741935483870968,10.0,11.0,3,2022-02-01
ATGL,60.483870967741936,39.516129032258064,92.02203857553269,,10.0,-20.967741935483872,5.0,15.0,4,2022-02-01
TRIDENT,56.451612903225815,41.12903225806452,174.2707812385411,,2.0,-15.322580645161295,15.0,17.0,5,2022-02-01
IRCTC,58.87096774193549,41.12903225806452,67.95489856588178,,12.0,-17.741935483870968,8.0,20.0,6,2022-02-01
TMPV,60.483870967741936,38.70967741935484,58.12216344938052,,21.0,-21.774193548387096,4.0,25.0,7,2022-02-01
JBMA,56.451612903225815,43.54838709677419,169.7761964131384,,3.0,-12.903225806451623,25.0,28.0,8,2022-02-01
TATAELXSI,57.25806451612904,42.74193548387097,64.91968357878812,,15.0,-14.516129032258071,19.0,34.0,9,2022-02-01
OLECTRA,55.64516129032258,43.54838709677419,143.2879920230069,,5.0,-12.096774193548384,32.0,37.0,10,2022-02-01
TATAPOWER,57.25806451612904,42.74193548387097,58.254409225053074,,20.0,-14.516129032258071,20.0,40.0,11,2022-02-01
KPITTECH,54.83870967741935,43.54838709677419,121.11253594056718,,6.0,-11.29032258064516,36.0,42.0,12,2022-02-01
LINDEINDIA,56.451612903225815,43.54838709677419,45.442921312174846,,38.0,-12.903225806451623,26.0,64.0,13,2022-02-01
CANBK,54.83870967741935,41.935483870967744,47.33745438173547,,33.0,-12.903225806451609,31.0,64.0,14,2022-02-01
SRF,57.25806451612904,42.74193548387097,38.16334083493469,,48.0,-14.516129032258071,18.0,66.0,15,2022-02-01
ONGC,56.451612903225815,43.54838709677419,41.94099399004634,,44.0,-12.903225806451623,28.0,72.0,16,2022-02-01
CGPOWER,52.41935483870967,45.96774193548387,110.69816704841568,,7.0,-6.451612903225801,66.0,73.0,17,2022-02-01
TRIVENI,57.25806451612904,42.74193548387097,34.630705918380556,,54.0,-14.516129032258071,21.0,75.0,18,2022-02-01
CHALET,54.83870967741935,45.16129032258064,46.70939032422008,,35.0,-9.677419354838712,44.0,79.0,19,2022-02-01
AFFLE,54.03225806451613,45.96774193548387,47.814241240880804,,31.0,-8.064516129032256,49.0,80.0,20,2022-02-01
DBREALTY,63.41463414634146,36.58536585365854,240.61605251840902,,1.0,-26.829268292682926,1.0,2.0,1,2022-03-01
TTML,59.34959349593496,40.65040650406504,177.84765849852744,,2.0,-18.699186991869922,3.0,5.0,2,2022-03-01
ADANIGREEN,57.72357723577236,42.27642276422765,58.82213804184819,,15.0,-15.447154471544714,6.0,21.0,3,2022-03-01
TATAPOWER,59.34959349593496,40.65040650406504,46.09631507589984,,22.0,-18.699186991869922,2.0,24.0,4,2022-03-01
TRIDENT,55.28455284552846,43.08943089430895,125.2440214418606,,3.0,-12.195121951219512,21.0,24.0,5,2022-03-01
TMPV,57.72357723577236,41.46341463414634,47.11236233569682,,21.0,-16.26016260162602,5.0,26.0,6,2022-03-01
IRCTC,56.91056910569105,43.08943089430895,42.321844490974534,,25.0,-13.821138211382106,10.0,35.0,7,2022-03-01
CENTURYPLY,56.91056910569105,42.27642276422765,39.82194622993684,,29.0,-14.634146341463406,8.0,37.0,8,2022-03-01
CHALET,54.47154471544715,45.52845528455284,59.72230505422442,,14.0,-8.943089430894311,30.0,44.0,9,2022-03-01
TRIVENI,56.91056910569105,43.08943089430895,36.30293620342415,,33.0,-13.821138211382106,13.0,46.0,10,2022-03-01
RAYMOND,53.65853658536586,45.52845528455284,74.90057064526792,,10.0,-8.130081300813018,38.0,48.0,11,2022-03-01
OLECTRA,53.65853658536586,46.34146341463415,94.50248785581441,,5.0,-7.31707317073171,43.0,48.0,12,2022-03-01
ONGC,57.72357723577236,42.27642276422765,29.57139881592523,,44.0,-15.447154471544714,7.0,51.0,13,2022-03-01
KPRMILL,53.65853658536586,46.34146341463415,64.26220638133609,,12.0,-7.31707317073171,42.0,54.0,14,2022-03-01
CGPOWER,52.03252032520326,46.34146341463415,91.00741375356466,,6.0,-5.69105691056911,50.0,56.0,15,2022-03-01
BSE,53.65853658536586,46.34146341463415,51.6966448705144,,18.0,-7.31707317073171,41.0,59.0,16,2022-03-01
EIHOTEL,56.09756097560976,42.27642276422765,25.0818312676804,,50.0,-13.821138211382113,9.0,59.0,17,2022-03-01
BANKBARODA,56.09756097560976,43.08943089430895,28.805682816382827,,45.0,-13.008130081300813,16.0,61.0,18,2022-03-01
JBMA,52.84552845528455,47.15447154471545,105.54282748219386,,4.0,-5.6910569105691025,58.0,62.0,19,2022-03-01
GNFC,52.84552845528455,47.15447154471545,60.89852472271489,,13.0,-5.6910569105691025,55.0,68.0,20,2022-03-01
TTML,63.41463414634146,36.58536585365854,322.7343920795947,,1.0,-26.829268292682926,1.0,2.0,1,2022-04-01
DBREALTY,60.97560975609756,39.02439024390244,204.87916035103063,,2.0,-21.951219512195124,3.0,5.0,2,2022-04-01
GNFC,56.91056910569105,43.08943089430895,74.63406412286983,,11.0,-13.821138211382106,11.0,22.0,3,2022-04-01
ADANIGREEN,57.72357723577236,42.27642276422765,52.123616437883655,,19.0,-15.447154471544714,6.0,25.0,4,2022-04-01
RAYMOND,56.09756097560976,43.08943089430895,80.09156236834669,,9.0,-13.008130081300813,21.0,30.0,5,2022-04-01
TRIVENI,56.91056910569105,43.08943089430895,55.378054390599395,,15.0,-13.821138211382106,17.0,32.0,6,2022-04-01
CENTURYPLY,58.536585365853654,41.46341463414634,41.73551042025079,,28.0,-17.073170731707314,5.0,33.0,7,2022-04-01
SAPPHIRE,57.14285714285714,42.857142857142854,44.522915533145735,,25.0,-14.285714285714285,10.0,35.0,8,2022-04-01
BSE,54.47154471544715,44.71544715447154,107.08184460610543,,4.0,-9.756097560975611,35.0,39.0,9,2022-04-01
AWL,57.14285714285714,42.857142857142854,35.20795187025896,,35.0,-14.285714285714285,9.0,44.0,10,2022-04-01
ADANIENT,61.78861788617886,38.21138211382114,30.775000422887324,,43.0,-23.577235772357724,2.0,45.0,11,2022-04-01
NH,55.28455284552846,44.71544715447154,54.29260169161123,,16.0,-10.569105691056919,31.0,47.0,12,2022-04-01
TATAELXSI,56.09756097560976,43.90243902439025,46.791920842188084,,24.0,-12.195121951219512,24.0,48.0,13,2022-04-01
TATAPOWER,59.34959349593496,40.65040650406504,29.983696891279642,,45.0,-18.699186991869922,4.0,49.0,14,2022-04-01
PAGEIND,57.72357723577236,42.27642276422765,30.34531463929302,,44.0,-15.447154471544714,8.0,52.0,15,2022-04-01
USHAMART,56.09756097560976,43.90243902439025,37.39481198414818,,31.0,-12.195121951219512,25.0,56.0,16,2022-04-01
TRIDENT,52.84552845528455,46.34146341463415,84.05214081133356,,6.0,-6.504065040650403,54.0,60.0,17,2022-04-01
ATGL,55.28455284552846,44.71544715447154,36.90132671952673,,32.0,-10.569105691056919,28.0,60.0,18,2022-04-01
CHOLAFIN,57.72357723577236,42.27642276422765,25.346384396690723,,54.0,-15.447154471544714,7.0,61.0,19,2022-04-01
RHIM,53.65853658536586,46.34146341463415,70.29926937052606,,13.0,-7.31707317073171,49.0,62.0,20,2022-04-01
ADANIGREEN,60.65573770491803,39.34426229508197,125.10783243461981,,5.0,-21.311475409836063,4.0,9.0,1,2022-05-01
TTML,58.19672131147541,41.80327868852459,138.02035835715043,,2.0,-16.393442622950815,7.0,9.0,2,2022-05-01
AWL,62.96296296296296,37.03703703703704,94.42838702699481,,9.0,-25.925925925925924,2.0,11.0,3,2022-05-01
DBREALTY,56.557377049180324,43.44262295081967,98.58896976697362,,8.0,-13.114754098360656,13.0,21.0,4,2022-05-01
ADANIENT,63.114754098360656,36.885245901639344,52.90273205970677,,25.0,-26.229508196721312,1.0,26.0,5,2022-05-01
GNFC,59.01639344262295,40.98360655737705,54.63491444336424,,23.0,-18.032786885245898,5.0,28.0,6,2022-05-01
THERMAX,57.377049180327866,42.62295081967213,55.66787196825964,,22.0,-14.754098360655739,9.0,31.0,7,2022-05-01
TRIVENI,57.377049180327866,42.62295081967213,56.88445939126876,,21.0,-14.754098360655739,10.0,31.0,8,2022-05-01
USHAMART,57.377049180327866,42.62295081967213,57.81958248490673,,20.0,-14.754098360655739,11.0,31.0,9,2022-05-01
POONAWALLA,55.73770491803278,43.44262295081967,65.30188140079073,,17.0,-12.295081967213115,17.0,34.0,10,2022-05-01
ANGELONE,57.49999999999999,42.5,51.59869576867144,,27.0,-14.999999999999993,8.0,35.0,11,2022-05-01
RAYMOND,54.91803278688525,44.26229508196721,74.75523304456648,,14.0,-10.655737704918039,23.0,37.0,12,2022-05-01
ATGL,56.557377049180324,43.44262295081967,47.518845995226776,,28.0,-13.114754098360656,12.0,40.0,13,2022-05-01
SWANCORP,54.09836065573771,45.90163934426229,158.47724454773498,,1.0,-8.196721311475414,41.0,42.0,14,2022-05-01
RHIM,54.91803278688525,45.08196721311475,75.88230582221507,,13.0,-9.836065573770497,30.0,43.0,15,2022-05-01
CHENNPETRO,52.459016393442624,45.08196721311475,109.09887660166744,,6.0,-7.377049180327873,44.0,50.0,16,2022-05-01
LINDEINDIA,54.91803278688525,45.08196721311475,52.13069960396661,,26.0,-9.836065573770497,28.0,54.0,17,2022-05-01
SCHAEFFLER,54.91803278688525,45.08196721311475,44.99788751566487,,31.0,-9.836065573770497,31.0,62.0,18,2022-05-01
WELCORP,55.73770491803278,44.26229508196721,31.64270093322543,,44.0,-11.475409836065573,21.0,65.0,19,2022-05-01
ELGIEQUIP,54.09836065573771,45.90163934426229,46.025843697064104,,30.0,-8.196721311475414,36.0,66.0,20,2022-05-01
CHENNPETRO,56.09756097560976,41.46341463414634,127.45279069135998,,4.0,-14.63414634146342,9.0,13.0,1,2022-06-01
AWL,57.333333333333336,42.66666666666667,72.48553363441795,,9.0,-14.666666666666664,8.0,17.0,2,2022-06-01
GNFC,59.34959349593496,40.65040650406504,44.711307281140876,,19.0,-18.699186991869922,2.0,21.0,3,2022-06-01
BLS,54.47154471544715,43.90243902439025,83.3600186838837,,7.0,-10.569105691056905,26.0,33.0,4,2022-06-01
RAYMOND,55.28455284552846,43.90243902439025,48.139382343625,,18.0,-11.382113821138212,18.0,36.0,5,2022-06-01
ADANIGREEN,56.91056910569105,43.08943089430895,35.964121237306344,,27.0,-13.821138211382106,10.0,37.0,6,2022-06-01
RHIM,55.28455284552846,44.71544715447154,60.19086959072144,,13.0,-10.569105691056919,24.0,37.0,7,2022-06-01
GESHIP,56.91056910569105,43.08943089430895,36.05458109829374,,26.0,-13.821138211382106,11.0,37.0,8,2022-06-01
TATAELXSI,56.09756097560976,43.90243902439025,41.8083028561963,,21.0,-12.195121951219512,16.0,37.0,9,2022-06-01
ADANIPOWER,52.84552845528455,43.90243902439025,183.0179418477998,,1.0,-8.943089430894304,37.0,38.0,10,2022-06-01
TRIVENI,56.91056910569105,43.08943089430895,37.00743659109178,,25.0,-13.821138211382106,14.0,39.0,11,2022-06-01
DBREALTY,54.47154471544715,45.52845528455284,61.438506894143295,,11.0,-8.943089430894311,31.0,42.0,12,2022-06-01
RENUKA,53.65853658536586,45.52845528455284,76.47140462652197,,8.0,-8.130081300813018,38.0,46.0,13,2022-06-01
BAJAJ-AUTO,58.536585365853654,41.46341463414634,25.1494725475486,,43.0,-17.073170731707314,3.0,46.0,14,2022-06-01
ANGELONE,54.47154471544715,45.52845528455284,49.64120079751693,,17.0,-8.943089430894311,29.0,46.0,15,2022-06-01
GMDCLTD,52.84552845528455,45.52845528455284,143.46994750903107,,2.0,-7.31707317073171,45.0,47.0,16,2022-06-01
SRF,57.72357723577236,42.27642276422765,25.36945384762237,,41.0,-15.447154471544714,6.0,47.0,17,2022-06-01
SCHAEFFLER,55.28455284552846,44.71544715447154,41.62083824849887,,22.0,-10.569105691056919,25.0,47.0,18,2022-06-01
ADANIENT,60.16260162601627,39.83739837398374,23.131141145078928,,47.0,-20.32520325203253,1.0,48.0,19,2022-06-01
RCF,56.91056910569105,43.08943089430895,28.833027996204642,,35.0,-13.821138211382106,13.0,48.0,20,2022-06-01
CHENNPETRO,56.557377049180324,41.80327868852459,145.2925324357352,,2.0,-14.754098360655732,2.0,4.0,1,2022-07-01
ADANIGREEN,55.73770491803278,44.26229508196721,41.76095531449966,,10.0,-11.475409836065573,8.0,18.0,2,2022-07-01
ADANIPOWER,52.459016393442624,44.26229508196721,145.86711493151694,,1.0,-8.196721311475414,19.0,20.0,3,2022-07-01
TVSMOTOR,56.557377049180324,42.62295081967213,34.16532852419694,,18.0,-13.934426229508198,3.0,21.0,4,2022-07-01
GESHIP,55.73770491803278,44.26229508196721,38.293689846458314,,12.0,-11.475409836065573,10.0,22.0,5,2022-07-01
CREDITACC,54.91803278688525,45.08196721311475,77.29708968683546,,6.0,-9.836065573770497,16.0,22.0,6,2022-07-01
BLS,54.09836065573771,45.08196721311475,91.61320824503463,,4.0,-9.016393442622956,18.0,22.0,7,2022-07-01
ADANIENT,58.19672131147541,41.80327868852459,24.23919388772959,,29.0,-16.393442622950815,1.0,30.0,8,2022-07-01
M&M,55.73770491803278,44.26229508196721,31.48704116124876,,20.0,-11.475409836065573,12.0,32.0,9,2022-07-01
BAJAJ-AUTO,56.557377049180324,43.44262295081967,24.706826276631546,,28.0,-13.114754098360656,4.0,32.0,10,2022-07-01
CHALET,54.09836065573771,45.90163934426229,37.445307826774446,,13.0,-8.196721311475414,20.0,33.0,11,2022-07-01
PHOENIXLTD,55.73770491803278,44.26229508196721,27.20642524328585,,25.0,-11.475409836065573,13.0,38.0,12,2022-07-01
GMDCLTD,51.63934426229508,48.36065573770492,91.90950477069104,,3.0,-3.278688524590166,39.0,42.0,13,2022-07-01
MARUTI,56.557377049180324,43.44262295081967,19.840680255624733,,36.0,-13.114754098360656,6.0,42.0,14,2022-07-01
BDL,52.459016393442624,47.540983606557376,65.92864501013848,,7.0,-4.918032786885249,36.0,43.0,15,2022-07-01
DEEPAKFERT,53.278688524590166,46.72131147540984,36.54414585382148,,16.0,-6.5573770491803245,30.0,46.0,16,2022-07-01
VBL,54.91803278688525,44.26229508196721,20.591289273386202,,33.0,-10.655737704918039,14.0,47.0,17,2022-07-01
RENUKA,52.459016393442624,45.90163934426229,29.731519519283278,,21.0,-6.557377049180332,28.0,49.0,18,2022-07-01
COROMANDEL,54.91803278688525,45.08196721311475,20.363692913594168,,34.0,-9.836065573770497,15.0,49.0,19,2022-07-01
ITC,56.557377049180324,43.44262295081967,17.60768145094196,,45.0,-13.114754098360656,5.0,50.0,20,2022-07-01
ADANIPOWER,56.09756097560976,41.46341463414634,179.46524556921736,,1.0,-14.63414634146342,9.0,10.0,1,2022-08-01
CREDITACC,58.536585365853654,41.46341463414634,75.6310263190949,,6.0,-17.073170731707314,6.0,12.0,2,2022-08-01
CHENNPETRO,53.65853658536586,44.71544715447154,112.74876161920142,,2.0,-8.943089430894318,16.0,18.0,3,2022-08-01
ADANIENT,60.97560975609756,39.02439024390244,43.178386546156624,,17.0,-21.951219512195124,1.0,18.0,4,2022-08-01
GESHIP,56.09756097560976,43.90243902439025,61.33889719598513,,8.0,-12.195121951219512,12.0,20.0,5,2022-08-01
TVSMOTOR,58.536585365853654,40.65040650406504,46.942270083217785,,16.0,-17.886178861788615,5.0,21.0,6,2022-08-01
GNFC,58.536585365853654,41.46341463414634,38.388743293149965,,18.0,-17.073170731707314,7.0,25.0,7,2022-08-01
VBL,59.34959349593496,40.65040650406504,30.34784275240203,,28.0,-18.699186991869922,4.0,32.0,8,2022-08-01
M&M,57.72357723577236,42.27642276422765,29.52590708259022,,29.0,-15.447154471544714,8.0,37.0,9,2022-08-01
PHOENIXLTD,56.09756097560976,43.90243902439025,31.697368456194308,,25.0,-12.195121951219512,13.0,38.0,10,2022-08-01
ITC,59.34959349593496,40.65040650406504,24.71237707366274,,36.0,-18.699186991869922,3.0,39.0,11,2022-08-01
CRAFTSMAN,54.47154471544715,45.52845528455284,37.56228881908055,,19.0,-8.943089430894311,21.0,40.0,12,2022-08-01
ATGL,53.65853658536586,46.34146341463415,55.26915813167523,,10.0,-7.31707317073171,30.0,40.0,13,2022-08-01
CGPOWER,54.47154471544715,45.52845528455284,32.79631738638198,,24.0,-8.943089430894311,18.0,42.0,14,2022-08-01
BLUEDART,59.34959349593496,40.65040650406504,22.30219172035479,,46.0,-18.699186991869922,2.0,48.0,15,2022-08-01
BAJAJ-AUTO,56.91056910569105,43.08943089430895,23.815122107873865,,39.0,-13.821138211382106,10.0,49.0,16,2022-08-01
USHAMART,52.84552845528455,47.15447154471545,79.0311120942998,,5.0,-5.6910569105691025,46.0,51.0,17,2022-08-01
ELECON,52.03252032520326,47.15447154471545,91.4203294920632,,3.0,-4.878048780487809,49.0,52.0,18,2022-08-01
BLS,52.03252032520326,47.15447154471545,86.0738176172818,,4.0,-4.878048780487809,48.0,52.0,19,2022-08-01
MAHSEAMLES,53.65853658536586,46.34146341463415,33.06374109917236,,23.0,-7.31707317073171,34.0,57.0,20,2022-08-01
ADANIPOWER,59.34959349593496,38.21138211382114,213.82543532960307,,1.0,-21.138211382113823,5.0,6.0,1,2022-09-01
ADANIENT,65.85365853658537,34.146341463414636,82.64130953334237,,8.0,-31.707317073170735,1.0,9.0,2,2022-09-01
TVSMOTOR,61.78861788617886,38.21138211382114,58.47164122296824,,20.0,-23.577235772357724,4.0,24.0,3,2022-09-01
ATGL,56.91056910569105,43.08943089430895,112.1302121775539,,5.0,-13.821138211382106,23.0,28.0,4,2022-09-01
MAHSEAMLES,59.34959349593496,40.65040650406504,58.10262705002971,,21.0,-18.699186991869922,8.0,29.0,5,2022-09-01
PHOENIXLTD,58.536585365853654,41.46341463414634,54.19662577172948,,24.0,-17.073170731707314,13.0,37.0,6,2022-09-01
M&M,58.536585365853654,41.46341463414634,50.604920402776266,,26.0,-17.073170731707314,12.0,38.0,7,2022-09-01
ELECON,55.28455284552846,43.90243902439025,135.47722732601497,,3.0,-11.382113821138212,37.0,40.0,8,2022-09-01
DATAPATTNS,56.91056910569105,41.46341463414634,50.888557708662496,,25.0,-15.447154471544714,16.0,41.0,9,2022-09-01
TITAGARH,56.09756097560976,43.90243902439025,96.70910741458813,,6.0,-12.195121951219512,35.0,41.0,10,2022-09-01
HAL,56.91056910569105,43.08943089430895,60.83527677064775,,18.0,-13.821138211382106,25.0,43.0,11,2022-09-01
GESHIP,56.09756097560976,43.90243902439025,75.68579406506848,,12.0,-12.195121951219512,32.0,44.0,12,2022-09-01
ITC,63.41463414634146,36.58536585365854,37.1269273992735,,46.0,-26.829268292682926,2.0,48.0,13,2022-09-01
