Ticker,Momentum,Rank_Mom,Group_Rank_1_to_100,Score,FIP,Close,Positive,Negative
GLENMARK,5.7224532224532165,132.0,27.0,74.0,-0.8196721311475414,2034.1,50.0,49.18032786885246
AMBER,5.528389024721547,133.0,27.0,74.0,-6.5573770491803245,7769.0,53.278688524590166,46.72131147540984
ASTRAZEN,5.501713745420167,134.0,27.0,74.0,-11.475409836065573,8926.5,55.73770491803278,44.26229508196721
HEG,5.3685258964143445,135.0,27.0,74.0,-6.5573770491803245,528.95,53.278688524590166,46.72131147540984
BALKRISIND,5.336417330965282,136.0,28.0,73.0,11.475409836065573,2550.3,44.26229508196721,55.73770491803278
UNITDSPR,4.910547196646453,137.0,28.0,73.0,-13.114754098360656,1401.5,56.557377049180324,43.44262295081967
PNBHOUSING,4.3973034819716705,138.0,28.0,73.0,-4.918032786885249,844.0,52.459016393442624,47.540983606557376
REDINGTON,4.2807871779265705,139.0,28.0,73.0,6.5573770491803245,257.0,46.72131147540984,53.278688524590166
BHARTIARTL,4.247044181705029,140.0,28.0,73.0,-1.639344262295083,2010.3,50.81967213114754,49.18032786885246
BAJAJFINSV,4.20730150625479,141.0,29.0,72.0,-3.278688524590166,2040.9,50.81967213114754,47.540983606557376
BSOFT,4.13136973804249,142.0,29.0,72.0,-1.639344262295083,399.5,50.81967213114754,49.18032786885246
SUNDARMFIN,4.075222878991824,143.0,29.0,72.0,-6.5573770491803245,5335.0,53.278688524590166,46.72131147540984
SUNPHARMA,3.9924070785622545,144.0,29.0,72.0,-16.393442622950815,1698.3,58.19672131147541,41.80327868852459
KOTAKBANK,3.9653035935563796,145.0,29.0,72.0,9.836065573770497,419.5,44.26229508196721,54.09836065573771
CENTURYPLY,3.7608225108225035,146.0,30.0,71.0,0.0,767.0,50.0,50.0
POWERGRID,3.7447988904299567,147.0,30.0,71.0,-1.639344262295083,299.2,50.81967213114754,49.18032786885246
PETRONET,3.7122969837587227,148.0,30.0,71.0,6.5573770491803245,290.55,46.72131147540984,53.278688524590166
INOXINDIA,3.4318482576091824,149.0,30.0,71.0,-0.8196721311475414,1172.4,50.0,49.18032786885246
M&M,3.3072211096713433,150.0,30.0,71.0,1.639344262295083,3507.9,49.18032786885246,50.81967213114754
DIVISLAB,3.263946711074106,151.0,31.0,70.0,-0.8196721311475414,6201.0,50.0,49.18032786885246
PERSISTENT,3.199251637043976,152.0,31.0,70.0,1.639344262295083,5516.0,49.18032786885246,50.81967213114754
POONAWALLA,3.1763180639585054,153.0,31.0,70.0,3.278688524590166,477.5,48.36065573770492,51.63934426229508
APOLLOTYRE,3.0922319708966306,154.0,31.0,70.0,6.5573770491803245,481.75,46.72131147540984,53.278688524590166
BLUESTARCO,2.832831794126789,155.0,31.0,70.0,3.278688524590166,1982.0,48.36065573770492,51.63934426229508
ATUL,2.7176884029675996,156.0,32.0,69.0,1.639344262295083,6576.5,49.18032786885246,50.81967213114754
NATCOPHARM,2.581987961973331,157.0,32.0,69.0,1.639344262295083,911.8,49.18032786885246,50.81967213114754
TATACONSUM,2.53324889170361,158.0,32.0,69.0,-3.278688524590166,1133.3,51.63934426229508,48.36065573770492
SAGILITY,2.5189478377173558,159.0,32.0,69.0,0.0,45.99,49.18032786885246,49.18032786885246
360ONE,2.5115604315894213,160.0,32.0,69.0,0.0,1130.6,50.0,50.0
HONASA,2.471003530005045,161.0,33.0,68.0,8.196721311475414,304.8,45.08196721311475,53.278688524590166
MARICO,2.3874443040500015,162.0,33.0,68.0,4.918032786885249,769.8,47.540983606557376,52.459016393442624
UPL,2.3197140654565684,163.0,33.0,68.0,-7.377049180327873,730.0,53.278688524590166,45.90163934426229
RAMCOCEM,2.3147317423291014,164.0,33.0,68.0,-1.639344262295083,1140.4,50.81967213114754,49.18032786885246
IKS,2.3144049576324655,165.0,33.0,68.0,6.5573770491803245,1618.0,46.72131147540984,53.278688524590166
CGPOWER,2.143121987393415,166.0,34.0,67.0,18.032786885245898,688.7,40.98360655737705,59.01639344262295
TIMKEN,2.035434135785774,167.0,34.0,67.0,-6.5573770491803245,3017.8,53.278688524590166,46.72131147540984
